year,metric,p10,p25,p50,p75,p90
2016,DD_a,11.257193573986038,12.792081074858777,15.904340076305278,18.37560756926292,21.39759828512289
2017,DD_a,11.46465895496076,13.452838357344808,16.07296767514123,20.06490350294858,23.278789219315243
2018,DD_a,11.93202169407313,14.257900816382993,19.569491308704748,36.34061489902007,63.08498274615244
2019,DD_a,5.756892223108052,7.714240189220912,11.570772346126128,17.324584037864057,21.724731201155873
2020,DD_a,8.832194690729064,11.431434614747923,15.67075448389015,22.03147108000327,29.324350034292284
2021,DD_a,13.097018940295301,16.846336951267194,21.812298080052045,28.5259910928578,40.52660945022398
2022,DD_a,10.619378472719792,12.979595646465453,17.362542939290783,23.393904757883867,34.05119610441519
2023,DD_a,9.045690053750164,10.997184400074577,15.666134459872906,20.615259728085736,31.5952146411987
overall,DD_a,9.225150169664563,12.242458241658637,16.616343274454913,22.91776979148782,34.27184947212868
2016,PD_a,1.830083684782436e-101,1.0299421564890324e-75,2.956150910114633e-57,9.077321539616075e-38,2.665302160461756e-28
2017,PD_a,2.0640375906640685e-119,8.603305473774021e-90,2.4931006275026187e-58,1.5955969011058283e-41,1.1967071894407129e-30
2018,PD_a,0.0,1.1119190719033944e-282,9.26757729835365e-85,2.328269181380419e-46,4.3098519299452064e-33
2019,PD_a,2.877825998899378e-103,1.7042672979894308e-67,3.0126983349542633e-31,6.1117108149309154e-15,4.2838633232714295e-09
2020,PD_a,1.3012100236278506e-187,7.2132351491214e-108,1.1985840002640185e-55,1.4583990523149546e-30,5.178743096071461e-19
2021,PD_a,0.0,1.1756320368607485e-176,1.0202983836650628e-104,5.7323873006301765e-64,1.4683945387513698e-37
2022,PD_a,1.793448250144546e-240,8.486237771929562e-121,1.0604935657537572e-67,1.0286240936670392e-38,1.2909455262273288e-26
2023,PD_a,5.349425928009374e-214,1.0012232435861049e-94,1.288942296817945e-55,1.9712504227664923e-28,7.620266620905888e-20
overall,PD_a,1.031883516155925e-257,1.5450226846369263e-116,2.653631194155672e-62,9.218141269679159e-35,1.4159666168129308e-20
